nom_reg,nom_dep,nom_com,nom_ar,ta
THiES,THiÈS,MBORO,MBORO,1.0
FATICK,FATICK,DIAKHAO,NIAKHAR,1.0
THiES,MBOUR,THiÈS,NOTTO,0.99
THiES,THiÈS,MBORO,MERINA DAKHAR,0.99
SAINT-LOUIS,PODOR,AERE LAO,DODEL,0.99
TAMBACOUNDA,KOUMPENTOUM,TAMBACOUNDA,NDOGA BABACAR,0.99
DIOURBEL,DIOURBEL,DIOURBEL,DIOURBEL,0.99
KAFFRINE,KOUNGHEUL,MALEM HODAR,DJANKE SOUF,0.98
ZIGUINCHOR,ZIGUINCHOR,BOUNKILING,INOR,0.98
THiES,TIVAOUANE,BIGNONA,DJINAKI,0.98
KOLDA,VELINGARA,DIAOBE KABENDOU,SARE COLI SALLE,0.98
SeDHIOU,BOUNKILING,DIATTACOUNDA,DIOUDOUBOU,0.98
Dakar,Dakar,Dakar Plateau,Plateau,0.98
THiES,TIVAOUANE,BIGNONA,KAFOUNTINE,0.97
TAMBACOUNDA,TAMBACOUNDA,SALY PORTUDAL,SALY PORTUDAL,0.97
Dakar,Guédiawaye,Guédiawaye,WAKHINANE NIMZAT,0.97
DIOURBEL,MBACKE,MBACKE,NGHAYE,0.97
ZIGUINCHOR,OUSSOUYE,ZIGUINCHOR,BOUTOUPA CAMARACOUND,0.97
Dakar,Dakar,Dakar Plateau,GOREE,0.97
Dakar,Rufisque,Rufisque,RUFISQUE EST,0.97
SeDHIOU,GOUDOMP,DIANAH MALARY,DIENDE,0.97
LOUGA,LOUGA,LOUGA,NGUER MALAL,0.97
DIOURBEL,BAMBEY,BAMBEY,GAWANE,0.96
KAFFRINE,MALEM HODAR,KEDOUGOU,BANDAFASSI,0.96
KAOLACK,GUINGUINEO,FASS,NDIAGO,0.96
SeDHIOU,BOUNKILING,DIATTACOUNDA,KARANTABA,0.96
KOLDA,MEDINA YORO FOULAH,MEDINA YORO FOULAH,NIAMING,0.96
ZIGUINCHOR,ZIGUINCHOR,BOUNKILING,DIACOUNDA,0.96
TAMBACOUNDA,TAMBACOUNDA,JOAL FADIOUTH,MALICOUNDA,0.95
KAOLACK,KAOLACK,NDOFFANE,NDOFFANE,0.95
KOLDA,KOLDA,DABO,DABO,0.95
THiES,MBOUR,THiÈS,TASSETTE,0.95
THiES,MBOUR,THiÈS,THIES EST,0.95
Dakar,Pikine ,Pikine Dagoudane,DALIFORT,0.95
Dakar,Dakar,Parcelles Assainies,Grand YOFF,0.94
Dakar,Pikine ,Pikine Dagoudane,Pikine NORD,0.94
SAINT-LOUIS,DAGANA,GAE,GAE,0.94
TAMBACOUNDA,TAMBACOUNDA,JOAL FADIOUTH,FISSEL,0.93
LOUGA,LOUGA,LOUGA,THIAMENE CAYOR,0.93
ZIGUINCHOR,ZIGUINCHOR,NDIAMACOUTA,NDIAMACOUTA,0.93
Dakar,Guédiawaye,Thiaroye,DIAMAGUENE SICAP MBAO,0.93
Dakar,Pikine ,Niayes,MALIKA,0.93
FATICK,FOUNDIOUGNE,FOUNDIOUGNE,NIORO ALASSANE TALL,0.92
THiES,MBOUR,THiÈS,FANDENE,0.92
SAINT-LOUIS,SAINT-LOUIS,BAKEL,SADATOU,0.92
KOLDA,MEDINA YORO FOULAH,MEDINA YORO FOULAH,BADION,0.92
KAFFRINE,KOUNGHEUL,MALEM HODAR,NDIOUM NGAINTHE,0.91
DIOURBEL,DIOURBEL,DIOURBEL,NDINDY,0.91
TAMBACOUNDA,BAKEL,GOUDIRY,BOYNGUEL BAMBA,0.91
MATAM,KANEL,SEMME,SEMME,0.91
SAINT-LOUIS,PODOR,BODE LAO,BODE LAO,0.91
DIOURBEL,MBACKE,MBACKE,TOUBA FALL,0.91
TAMBACOUNDA,KOUMPENTOUM,TAMBACOUNDA,NETTEBOULOU,0.9
FATICK,FOUNDIOUGNE,FOUNDIOUGNE,KEUR SAMBA GUEYE,0.9
Dakar,Pikine ,Niayes,KEUR MASSAR,0.9
SeDHIOU,GOUDOMP,DIANAH MALARY,BEMET BIDJINI,0.9
SAINT-LOUIS,DAGANA,ROSS BETHIO,ROSS BETHIO,0.9
TAMBACOUNDA,TAMBACOUNDA,POPENGUINE-NDAYANE,POPENGUINE-NDAYANE,0.89
KAFFRINE,KAFFRINE,KOUNGHEUL,MISSIRAH WADENE,0.89
DIOURBEL,MBACKE,MBACKE,TAIF,0.88
FATICK,FATICK,DIAKHAO,PALMARIN FACAO,0.88
ZIGUINCHOR,ZIGUINCHOR,BOUNKILING,DIAROUME,0.88
SAINT-LOUIS,PODOR,AERE LAO,BOKE DIALLOUBE,0.88
FATICK,FATICK,DIAKHAO,DIARRERE,0.87
LOUGA,LOUGA,LOUGA,GANDE,0.87
KAFFRINE,KOUNGHEUL,MALEM HODAR,DAROU MINAM,0.87
SeDHIOU,SÉDHIOU,BIRKILANE,SEGRE GATTA,0.87
SAINT-LOUIS,PODOR,AERE LAO,GUEDE VILLAGE,0.87
SAINT-LOUIS,PODOR,GUEDE CHANTIER,GUEDE CHANTIER,0.87
TAMBACOUNDA,GOUDIRY,MALEME NIANI,MALEME NIANI,0.87
THiES,MBOUR,THiÈS,DIENDER GUEDJI,0.87
DIOURBEL,DIOURBEL,DIOURBEL,TAIBA MOUTOUPHA,0.86
KOLDA,VELINGARA,DIAOBE KABENDOU,NEMATABA,0.86
LOUGA,LINGUERE,LINGUERE,LINGUERE,0.85
LOUGA,KEBEMER,GUEOUL,NDOYENE,0.85
MATAM,MATAM,MATAM,NABADJI CIVOL,0.85
Dakar,Dakar,Grand Dakar,DIEUPPEUL DERKLE,0.85
KAOLACK,KAOLACK,GANDIAYE,NDIEDIENG,0.85
SAINT-LOUIS,PODOR,PODOR,PODOR,0.85
SAINT-LOUIS,SAINT-LOUIS,BAKEL,GABOU,0.85
THiES,TIVAOUANE,BIGNONA,TENGHORI,0.84
SAINT-LOUIS,SAINT-LOUIS,BAKEL,GATHIARI,0.84
KAOLACK,NIORO DU RIP,KEUR MADIABEL,DAROU SALAM,0.84
SAINT-LOUIS,SAINT-LOUIS,BAKEL,TOUMBOURA,0.84
SAINT-LOUIS,SAINT-LOUIS,KIDIRA,KIDIRA,0.84
SAINT-LOUIS,DAGANA,RICHARD TOLL,RICHARD TOLL,0.84
TAMBACOUNDA,KOUMPENTOUM,TAMBACOUNDA,SINTHIOU MALEME,0.84
SeDHIOU,BOUNKILING,DIATTACOUNDA,KAOUR,0.84
MATAM,RANEROU FERLO,RANEROU,VELINGARA,0.84
KOLDA,VELINGARA,DIAOBE KABENDOU,PAKOUR,0.84
SeDHIOU,SÉDHIOU,BIRKILANE,DIAMAL,0.84
THiES,TIVAOUANE,DIOULOULOU,DIOULOULOU,0.84
TAMBACOUNDA,BAKEL,GOUDIRY,DOUGUE,0.83
Dakar,Dakar,Almadies,NGOR,0.83
DIOURBEL,BAMBEY,BAMBEY,NGOYE,0.83
FATICK,FOUNDIOUGNE,PASSI,PASSI,0.83
KAOLACK,NIORO DU RIP,KEUR MADIABEL,DABALY,0.83
LOUGA,LINGUERE,DAHRA,BOULAL,0.83
LOUGA,LOUGA,LOUGA,NGUEUNE SARR,0.82
FATICK,FATICK,DIAKHAO,MBELLACADIAO,0.82
KAFFRINE,MALEM HODAR,KEDOUGOU,KEDOUGOU,0.82
SAINT-LOUIS,DAGANA,DAGANA,RONKH,0.82
MATAM,MATAM,NGUIDJILONE,NGUIDJILONE,0.82
Dakar,Dakar,Grand Dakar,BISCUITERIE,0.82
THiES,THiÈS,MBORO,TAIBA NDIAYE,0.82
MATAM,KANEL,DEMBANCANE,NDENDORY,0.82
KOLDA,VELINGARA,DIAOBE KABENDOU,MEDINA GOUNASSE,0.82
ZIGUINCHOR,OUSSOUYE,ZIGUINCHOR,ENAMPOR,0.81
KAFFRINE,KOUNGHEUL,MALEM HODAR,NDIOBENE SAMBA LAMO,0.81
FATICK,FATICK,DIOFIOR,DIOFIOR,0.81
SeDHIOU,BOUNKILING,DIATTACOUNDA,YARANG BALANTE,0.81
KOLDA,MEDINA YORO FOULAH,MEDINA YORO FOULAH,BOUROUCO,0.81
TAMBACOUNDA,TAMBACOUNDA,JOAL FADIOUTH,SINDIA,0.81
ZIGUINCHOR,ZIGUINCHOR,BOUNKILING,TANKON,0.8
TAMBACOUNDA,BAKEL,GOUDIRY,KOUSSAN,0.8
SeDHIOU,BOUNKILING,DIATTACOUNDA,BAGHERE,0.8
KOLDA,MEDINA YORO FOULAH,PATA,PATA,0.8
DIOURBEL,MBACKE,MBACKE,SADIO,0.8
DIOURBEL,BAMBEY,BAMBEY,BAMBEY,0.8
LOUGA,LINGUERE,DAHRA,YANG YANG,0.79
LOUGA,KEBEMER,GUEOUL,NGOURANE OUOLOF,0.79
ZIGUINCHOR,ZIGUINCHOR,BOUNKILING,DJINANY,0.79
LOUGA,LINGUERE,DAHRA,DODJI,0.79
SeDHIOU,BOUNKILING,GOUDOMP,GOUDOMP,0.79
THiES,TIVAOUANE,BIGNONA,KATABA 1,0.79
TAMBACOUNDA,GOUDIRY,KOUMPENTOUM,PASS KOTO,0.78
LOUGA,LINGUERE,DAHRA,DEALY,0.78
MATAM,KANEL,HAMADI HOUNARE,HAMADI HOUNARE,0.78
KOLDA,KOLDA,DABO,BAGADAJI,0.78
KAOLACK,NIORO DU RIP,NIORO DU RIP,NIORO DU RIP,0.78
LOUGA,KEBEMER,GUEOUL,TOUBA MERINA,0.77
Dakar,Dakar,Grand Dakar,Grand Dakar,0.77
FATICK,FOUNDIOUGNE,FOUNDIOUGNE,NIASSENE,0.77
KEDOUGOU,KEDOUGOU,SALEMATA,SALEMATA,0.77
LOUGA,LOUGA,NDIAGNE,NDIAGNE,0.77
KOLDA,VELINGARA,DIAOBE KABENDOU,KANDIAYE,0.77
ZIGUINCHOR,ZIGUINCHOR,BOUNKILING,KANDION MANGANA,0.77
KOLDA,MEDINA YORO FOULAH,MEDINA YORO FOULAH,BIGNARABE,0.76
